"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000137709",15.6007743762861,-2.27617355543212,0.454286063823692,-5.01044107819143,5.43054238761629e-07,0.00502651003397764,"POU2F3"
"ENSG00000114019",16.8739733607377,-1.56257764562819,0.336302715446186,-4.64634263673744,3.37871647770687e-06,0.0156366998588274,"AMOTL2"
"ENSG00000130270",18.1231838530004,-3.91862618265595,0.872677111471191,-4.49035059032291,7.11060382075564e-06,0.0219385829883047,"ATP8B3"
"ENSG00000188549",44.1766071495448,-2.2915737000289,0.526057006881704,-4.35613188314439,1.32381032644167e-05,0.0306329709538603,"C15orf52"
"ENSG00000157456",7.01698227777896,-2.95614656901509,0.688162639632856,-4.29570918088815,1.7413574628715e-05,0.0322360093526773,"CCNB2"
"ENSG00000186174",17.4124435451417,-1.46608603545059,0.344644035164164,-4.25391385274448,2.1006614509098e-05,0.0324062039827018,"BCL9L"
"ENSG00000226853",12.257434253197,-4.15218857577796,0.99552293202256,-4.17086180761516,3.03449848924605e-05,0.0351091475205768,"ENSG00000226853"
"ENSG00000254656",19.3374753079697,-4.69871157742024,1.12175199548008,-4.18872584702584,2.8052504385497e-05,0.0351091475205768,"RTL1"
"ENSG00000116396",6.9692226264677,-3.08125789755087,0.752460746251306,-4.09490848911579,4.22335168858744e-05,0.0434348258106281,"KCNC4"
"ENSG00000116678",6.83684596659973,-3.91234156339648,0.961243136936823,-4.07008530210564,4.69959268961279e-05,0.043499429935056,"LEPR"
"ENSG00000141384",7.90043585318002,-3.01547411659401,0.747910392474796,-4.03186551080801,5.53358519951726e-05,0.046562604187938,"TAF4B"
"ENSG00000150048",7.19239562904437,-4.5169433912243,1.14059094018623,-3.96017821295933,7.48938507509033e-05,0.0495155344678829,"CLEC1A"
"ENSG00000165949",60.5023392904686,1.49195136101562,0.376130095351103,3.96658331639999,7.29102959066951e-05,0.0495155344678829,"IFI27"
"ENSG00000260254",24.8835016199375,-4.30814848023035,1.08684251638284,-3.96391235647317,7.37313313755785e-05,0.0495155344678829,"ENSG00000260254"
"ENSG00000007372",45.4921502955216,-2.03307031027442,0.552546283966931,-3.67945703241051,0.000233731064328979,0.0621431193778063,"PAX6"
"ENSG00000013563",26.2104927614802,-2.22258204590293,0.634426989049107,-3.50329050350488,0.000459547981956437,0.0621431193778063,"DNASE1L1"
"ENSG00000027075",15.9927157554751,-1.28866579059195,0.382401162285531,-3.36993167826653,0.000751868229730068,0.0621431193778063,"PRKCH"
"ENSG00000065457",236.57394344735,-2.68041488102133,0.751765265647726,-3.56549444820634,0.000363170850237192,0.0621431193778063,"ADAT1"
"ENSG00000065989",916.760483882199,-2.73951276772851,0.812673727299903,-3.37098724334365,0.000748993259956939,0.0621431193778063,"PDE4A"
"ENSG00000066923",12.223961358903,-2.62129810787741,0.788767166361375,-3.32328501954461,0.000889639654898022,0.0621431193778063,"STAG3"
"ENSG00000066926",17.2846964571137,-1.44051354875841,0.427733660378776,-3.36778159446879,0.000757755987368712,0.0621431193778063,"FECH"
"ENSG00000068079",9.92182922282053,1.23841421125861,0.33427602423034,3.70476528823751,0.000211586562211682,0.0621431193778063,"IFI35"
