"","from","to","source","database"
"1","IL6","SH3GL2","omnipath_directional","omnipath"
"2","IL6","SH3GL2","vinayagam_ppi","vinayagam"
"3","TGFB1","PIK3R1","omnipath_directional","omnipath"
"4","IL4","IL4R","omnipath_directional","omnipath"
"5","IL4","IL4R","evex_regulation_binding","evex_signaling"
"6","IL4","IL4R","evex_phosphorylation","evex_signaling"
"7","IL4","IL4R","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"8","IL4","IL4R","vinayagam_ppi","vinayagam"
"9","BMP4","BMPR2","omnipath_directional","omnipath"
"10","BMP4","BMPR2","vinayagam_ppi","vinayagam"
"11","TGFB1","RUNX2","omnipath_directional","omnipath"
"12","IL4","IL13RA1","omnipath_directional","omnipath"
"13","TGFB1","TGFBR2","omnipath_directional","omnipath"
"14","TGFB1","TGFBR2","evex_regulation_binding","evex_signaling"
"15","TGFB1","TGFBR2","vinayagam_ppi","vinayagam"
"16","TGFB1","TGFBR1","omnipath_directional","omnipath"
"17","TGFB1","TGFBR1","evex_regulation_binding","evex_signaling"
"18","TGFB1","TGFBR1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"19","TGFB1","TGFBR1","vinayagam_ppi","vinayagam"
"20","TGFB1","PAX8","omnipath_directional","omnipath"
"21","TGFB1","PPP2R2A","omnipath_directional","omnipath"
"22","IL4","IL2RG","omnipath_directional","omnipath"
"23","IL4","IL2RG","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"24","IL4","IL2RG","vinayagam_ppi","vinayagam"
"25","NODAL","ACVR1B","omnipath_directional","omnipath"
"26","NODAL","ACVR1B","evex_regulation_other","evex_signaling"
"27","NODAL","ACVR1B","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"28","NODAL","ACVR1C","omnipath_directional","omnipath"
"29","NODAL","ACVR1C","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"30","IL4","ADRA2A","evex_regulation_other","evex_signaling"
"31","TGFB1","AGTRAP","evex_regulation_other","evex_signaling"
"32","BMP4","AKT1","evex_phosphorylation","evex_signaling"
"33","BMP4","AKT1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"34","IL4","ASS1","evex_regulation_other","evex_signaling"
"35","IL6","BCL6","evex_regulation_other","evex_signaling"
"36","IL6","PRDM1","evex_regulation_other","evex_signaling"
"37","IL4","CIITA","evex_regulation_other","evex_signaling"
"38","BMP4","CASP2","evex_regulation_other","evex_signaling"
"39","IL4","CASP3","evex_regulation_other","evex_signaling"
"40","IL4","CASP3","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"41","BMP4","CASP8","evex_regulation_other","evex_signaling"
"42","BMP4","CASP8","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"43","BMP4","CASP9","evex_regulation_other","evex_signaling"
"44","TGFB1","CTNND1","evex_phosphorylation","evex_signaling"
"45","TGFB1","CTNND1","evex_regulation_other","evex_signaling"
"46","BMP4","CCND1","evex_regulation_other","evex_signaling"
"47","BMP4","CCND1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"48","IL4","CD22","evex_regulation_other","evex_signaling"
"49","IL4","CD36","evex_regulation_other","evex_signaling"
"50","IL4","CD69","evex_regulation_other","evex_signaling"
"51","TGFB1","CD79A","evex_regulation_other","evex_signaling"
"52","IL4","CD80","evex_regulation_other","evex_signaling"
"53","TGFB1","CDH9","evex_regulation_other","evex_signaling"
"54","TGFB1","CDK2","evex_regulation_binding","evex_signaling"
"55","TGFB1","CDK2","evex_phosphorylation","evex_signaling"
"56","TGFB1","CDK2","evex_regulation_other","evex_signaling"
"57","TGFB1","CDK2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"58","TGFB1","CDKN1A","evex_regulation_binding","evex_signaling"
"59","TGFB1","CDKN1A","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"60","TGFB1","CDKN1B","evex_regulation_binding","evex_signaling"
"61","TGFB1","CDKN1B","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"62","IL4","SOCS3","evex_regulation_other","evex_signaling"
"63","IL4","CLDN1","evex_regulation_other","evex_signaling"
"64","TGFB1","CLDN3","evex_regulation_other","evex_signaling"
"65","IL4","CXCR3","evex_regulation_other","evex_signaling"
"66","IL4","CXCR3","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"67","IL4","CCR5","evex_regulation_other","evex_signaling"
"68","TGFB1","CREB1","evex_phosphorylation","evex_signaling"
"69","TGFB1","CRK","evex_regulation_other","evex_signaling"
"70","TGFB1","CSNK2A2","evex_regulation_other","evex_signaling"
"71","BMP4","CYBB","evex_regulation_other","evex_signaling"
"72","TGFB1","GADD45A","evex_regulation_other","evex_signaling"
