"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000187733",307.901179597541,2.26675283491317,0.392937747612239,5.76873270304909,7.98698694095948e-09,0.000145583791665997,"AMY1C"
"ENSG00000237763",573.441582087065,2.19324621125061,0.382752946994008,5.73018765361706,1.00319591831586e-08,0.000145583791665997,"AMY1A"
"ENSG00000132329",178.0606323677,2.23533135994201,0.402285456153056,5.55658009940965,2.75111503616774e-08,0.000266161209365775,"RAMP1"
"ENSG00000174876",318.5231701862,2.18387020529308,0.398816085282367,5.47588295930159,4.35335369430547e-08,0.000315879344058805,"AMY1B"
"ENSG00000134363",1228.17698219775,-2.14853300872615,0.409922348674649,-5.24131708279076,1.5943447352509e-07,0.000925485231918444,"FST"
"ENSG00000005108",156.425291049275,-2.35372944040053,0.494930774003198,-4.75567405389369,1.97785367185112e-06,0.00956753749530117,"THSD7A"
"ENSG00000129474",671.164880765498,-1.13071215466547,0.255395411604776,-4.42730019134112,9.54198931409157e-06,0.0395638139788848,"AJUBA"
"ENSG00000101194",289.859323223667,1.38579825178588,0.326266170331558,4.24744695528073,2.16220335884704e-05,0.0784447378589707,"SLC17A9"
"ENSG00000156535",1337.37517474332,-1.17888840980596,0.281073689425631,-4.19423252391568,2.73797013677803e-05,0.0882964947220507,"CD109"
"ENSG00000005102",58.605148258694,-2.63617702638654,0.658769542822479,-4.00166804174327,6.28975012161662e-05,0.182553707529801,"MEOX1"
"ENSG00000075673",6378.6098983491,1.09980079818504,0.282630772141609,3.89129884849905,9.97090319892802e-05,0.244044548075417,"ATP12A"
"ENSG00000135919",557.605252563666,-2.12568805127162,0.546671929669642,-3.88841631681398,0.000100900447109461,0.244044548075417,"SERPINE2"
"ENSG00000137841",698.037146100647,1.12677337312425,0.294343908466852,3.82808456608891,0.000129144387408452,0.288329746164839,"PLCB2"
"ENSG00000127324",1459.5969898491,1.08730459914025,0.288606864478458,3.76742459367737,0.000164940338503335,0.341944884622914,"TSPAN8"
"ENSG00000134376",29.5385708271841,2.70189166404253,0.724095944891477,3.73140007633584,0.000190418538689153,0.368447177794265,"CRB1"
"ENSG00000137801",1390.2997100668,-1.14713772886898,0.314443126542715,-3.64815647739448,0.00026412876165173,0.479129573636239,"THBS1"
"ENSG00000122641",113.302110288566,-1.78827904284763,0.495375870362404,-3.60994378175783,0.000306263375914243,0.522881660149116,"INHBA"
"ENSG00000167779",149.288054508095,-1.97208782253518,0.551976439321889,-3.57277536149535,0.000353217749082161,0.569543997186702,"IGFBP6"
"ENSG00000125999",102121.264271676,1.3839259953979,0.389615870982684,3.55202674857003,0.000382275997342222,0.583956765624245,"BPIFB1"
"ENSG00000186480",779.980769487994,1.25636724888006,0.356056340118238,3.52856305960694,0.000417822385491127,0.604151374919711,"INSIG1"
"ENSG00000186847",15845.4858039184,-1.950985424324,0.554794558673722,-3.51659077008249,0.000437127166252547,0.604151374919711,"KRT14"
"ENSG00000128052",91.5160384362093,1.51226083468493,0.433389314117859,3.48938191464886,0.000484138907769273,0.610941202569364,"KDR"
"ENSG00000198758",326.318448676677,1.38557361400966,0.397032395967545,3.48982508249256,0.000483336797326847,0.610941202569364,"EPS8L3"
"ENSG00000052802",2254.37833312358,0.908362117327682,0.263190224511837,3.45135203639309,0.00055778550415291,0.674548603022252,"MSMO1"
