,names,scores,logfoldchanges,pvals,pvals_adj,celltype
0,HSPA1B,30.494066,3.594083,3.727027428855621e-158,8.263937918001567e-154,t_Bmem-CD27
1,PPP1R15A,26.72746,2.9656534,5.198376335478432e-128,5.763179924328163e-124,t_Bmem-CD27
2,HSPA1A,25.321482,3.1761937,1.615384547868893e-117,1.1939307193298989e-113,t_Bmem-CD27
3,DNAJB1,25.240948,2.9415345,8.374333477926332e-117,4.642102405151514e-113,t_Bmem-CD27
4,IER5,19.95098,2.7567046,8.577210699023832e-77,3.803649856589109e-73,t_Bmem-CD27
5,TNF,19.359869,4.206881,5.92075956477493e-70,1.6410125228719314e-66,t_Bmem-CD27
6,FOSB,19.28926,2.411923,1.4468804786228242e-73,5.346946808750647e-70,t_Bmem-CD27
7,HSP90AB1,18.942038,1.6219102,1.6947286183777598e-71,5.368173950755724e-68,t_Bmem-CD27
8,UBC,18.708052,1.7223563,1.4634298950006666e-69,3.6054034513166425e-66,t_Bmem-CD27
9,AHNAK,17.969694,3.0956454,2.615165731944735e-63,5.271460888582781e-60,t_Bmem-CD27
10,CD82,17.693459,2.1121073,1.8376327020613048e-63,4.0745829902805313e-60,t_Bmem-CD27
11,EGR1,17.581333,3.0178044,2.0440308743164626e-61,3.776858048018244e-58,t_Bmem-CD27
12,JUN,17.30297,2.18078,4.0244483546891376e-61,6.864161028347864e-58,t_Bmem-CD27
13,CITED2,16.521887,3.653571,8.358382265402915e-54,1.0296133887265491e-50,t_Bmem-CD27
14,DDX5,16.431326,1.5412838,1.2290899380313601e-55,1.8168407463979562e-52,t_Bmem-CD27
15,DNAJA1,16.365976,1.6842866,2.2057401475641053e-55,3.0567422682461816e-52,t_Bmem-CD27
16,DDX3X,16.10697,2.05729,1.2757709439830811e-53,1.4888246916282557e-50,t_Bmem-CD27
17,BRD2,15.885754,1.9086943,1.9148568529270257e-52,2.0218152857119496e-49,t_Bmem-CD27
18,ITGB1,15.885702,2.5790966,1.371456650260888e-51,1.3221438394015074e-48,t_Bmem-CD27
19,NFKBIA,15.742135,1.9551942,1.3441248198845975e-51,1.3221438394015074e-48,t_Bmem-CD27
20,IER2,15.528808,1.6840854,1.9497631389685732e-50,1.8013374200145907e-47,t_Bmem-CD27
21,LGALS1,15.384699,2.2952852,3.2888321993746063e-49,2.80474139833589e-46,t_Bmem-CD27
22,SWAP70,15.255456,2.12508,1.5746227912696483e-48,1.2931152278082191e-45,t_Bmem-CD27
23,CD24,15.199761,2.0350115,2.55462659660593e-48,2.0229905545194032e-45,t_Bmem-CD27
24,CRIP1,14.94469,1.7729095,4.359968408560029e-47,3.222452650766717e-44,t_Bmem-CD27
25,ZFAND2A,14.739424,2.3012135,2.3723314086951623e-45,1.5939910401514495e-42,t_Bmem-CD27
26,RALGPS2,14.676594,1.941872,2.1895042494160865e-45,1.517121178821965e-42,t_Bmem-CD27
27,KLF6,14.535305,1.7611043,9.117004629334e-45,5.945627754300669e-42,t_Bmem-CD27
28,RSRP1,14.498229,1.8215858,1.6642777997909703e-44,1.0250564348545885e-41,t_Bmem-CD27
29,FOS,14.48409,2.1438596,1.841850661228425e-44,1.1037663435518342e-41,t_Bmem-CD27
30,TXNIP,14.305663,2.1416538,3.505666408870874e-43,2.045556349576155e-40,t_Bmem-CD27
31,S100A4,14.289549,2.0669208,3.671100812546833e-43,2.087162008117973e-40,t_Bmem-CD27
32,SERTAD1,14.156919,2.2136614,2.2960486220219058e-42,1.2417142950266272e-39,t_Bmem-CD27
33,HSPH1,14.094018,1.6340748,2.259945182081532e-42,1.2417142950266272e-39,t_Bmem-CD27
34,HSP90AA1,14.085383,1.3179464,2.932161948044133e-42,1.5119727179995944e-39,t_Bmem-CD27
35,DUSP1,14.081091,1.7562643,2.630632953967214e-42,1.3887862973408341e-39,t_Bmem-CD27
36,TUBB4B,14.044503,1.8751782,6.538562991668216e-42,3.2949899366877126e-39,t_Bmem-CD27
37,BAG3,13.987594,2.7220852,8.011644657173655e-41,3.700879103823155e-38,t_Bmem-CD27
38,LTB,13.922207,1.5317769,1.8644600340398595e-41,8.987102681470828e-39,t_Bmem-CD27
39,FUS,13.8710165,1.546881,3.5161767841348704e-41,1.658812507119627e-38,t_Bmem-CD27
40,HSPB1,13.8204365,2.0467134,1.2578487651079277e-40,5.691894014028181e-38,t_Bmem-CD27
41,WSB1,13.607124,1.635583,9.452591196384295e-40,4.109653031322137e-37,t_Bmem-CD27
42,DYNLL1,13.520625,1.5906938,2.6253602202681545e-39,1.1194636954616497e-36,t_Bmem-CD27
43,SLC38A2,13.486799,2.4275856,1.3806905062751401e-38,5.776235961441261e-36,t_Bmem-CD27
44,KIAA1551,13.345351,2.0193746,4.043473423824821e-38,1.6009988611869243e-35,t_Bmem-CD27
45,IGHG2,13.303448,3.4239116,6.2573973096816e-37,2.237826944315647e-34,t_Bmem-CD27
46,HSPA8,13.207197,1.161548,1.3737303106570433e-37,5.251676237620452e-35,t_Bmem-CD27
47,EIF5,13.083561,1.4291494,4.609368549072349e-37,1.6754676858783804e-34,t_Bmem-CD27
48,CHORDC1,12.786728,1.6792396,1.8229884982938796e-35,6.218634457333877e-33,t_Bmem-CD27
49,GADD45B,12.739346,1.8809217,4.134891615271149e-35,1.3891356331122301e-32,t_Bmem-CD27
50,IGHA1,12.381885,2.4595077,4.5996195553777765e-33,1.3782076270458302e-30,t_Bmem-CD27
51,CCNL1,12.37997,1.6527507,1.873815554076896e-33,5.770571150075974e-31,t_Bmem-CD27
52,H2AFX,12.293865,2.2464323,1.0610678032044303e-32,3.0956653158489252e-30,t_Bmem-CD27
53,VIM,12.265164,1.4376018,5.6553619058219004e-33,1.671951193837187e-30,t_Bmem-CD27
54,NEU1,12.235146,2.435698,2.4754460840721845e-32,6.947856458497791e-30,t_Bmem-CD27
55,TAGAP,12.177127,1.5997022,1.725065385964972e-32,4.96751620818199e-30,t_Bmem-CD27
56,UBE2S,12.170927,1.7736205,2.2515044598367835e-32,6.400334408712949e-30,t_Bmem-CD27
57,CDC42EP3,12.149531,2.1940396,4.3465045060975374e-32,1.1898153631321075e-29,t_Bmem-CD27
58,SNHG12,12.125838,1.9958967,4.616818741348017e-32,1.2483990481940193e-29,t_Bmem-CD27
59,NEAT1,11.893773,1.7952031,4.953358970783831e-31,1.3075098626094033e-28,t_Bmem-CD27
60,EIF4G2,11.778405,1.4682761,1.2573517230129125e-30,3.2799129122782717e-28,t_Bmem-CD27
61,ZC3H12A,11.725982,2.512121,5.293645326938771e-30,1.3491494003932574e-27,t_Bmem-CD27
62,EIF4A2,11.620403,1.3244555,6.51051265957643e-30,1.6404272409180474e-27,t_Bmem-CD27
63,HLA-B,11.602229,0.97804487,7.893585340529772e-30,1.9665670534333328e-27,t_Bmem-CD27
64,BANK1,11.589294,1.2189133,9.220516333264791e-30,2.2716278739720022e-27,t_Bmem-CD27
65,RIPOR2,11.573799,1.5823146,1.2104785608613462e-29,2.949444080217432e-27,t_Bmem-CD27
66,UBB,11.552038,0.9848792,1.488228973121142e-29,3.58679358924077e-27,t_Bmem-CD27
67,MYC,11.541913,3.1122541,6.09022759973771e-29,1.3921506862781884e-26,t_Bmem-CD27
68,PARP15,11.523397,1.8270413,2.5220769961453368e-29,5.949150344205378e-27,t_Bmem-CD27
69,BHLHE40,11.387679,2.4771132,1.8629543904723317e-28,4.215029357137042e-26,t_Bmem-CD27
70,RSRC2,11.302853,1.4686042,2.05857970801566e-28,4.610594733922346e-26,t_Bmem-CD27
71,TRA2B,11.016536,1.4204918,3.858475672857164e-27,8.306211756724457e-25,t_Bmem-CD27
72,CD69,10.959457,1.4568999,6.687880831253093e-27,1.4258690545324503e-24,t_Bmem-CD27
73,ZFP36L1,10.93869,1.2197046,8.062557629368139e-27,1.7025818125331403e-24,t_Bmem-CD27
74,ATF7IP,10.923887,1.8694069,1.3568201382469047e-26,2.8381861250328884e-24,t_Bmem-CD27
75,RBM39,10.831583,1.2068154,2.3934057406307173e-26,4.8687142648628346e-24,t_Bmem-CD27
76,MALAT1,10.830271,0.68474007,2.424484951222089e-26,4.887100438495216e-24,t_Bmem-CD27
77,SQSTM1,10.81929,1.3566133,2.926239336543456e-26,5.845360793619644e-24,t_Bmem-CD27
78,S100A10,10.730985,1.5835875,7.834814303938947e-26,1.5373569695684805e-23,t_Bmem-CD27
79,S100A6,10.707779,1.4986198,9.169039975211899e-26,1.7833782751787145e-23,t_Bmem-CD27
80,MARCKS,10.689558,1.9777286,1.5543590286996038e-25,2.8962019112064134e-23,t_Bmem-CD27
81,UVRAG,10.689169,1.6095454,1.151058843949398e-25,2.2002092885250003e-23,t_Bmem-CD27
82,AIM2,10.6770735,1.8581971,1.5789301767384431e-25,2.917468234068458e-23,t_Bmem-CD27
83,SRRM2,10.5827675,1.2982484,2.9528086577411477e-25,5.366608718696268e-23,t_Bmem-CD27
84,PLEK,10.580618,1.8481263,4.243928523107931e-25,7.650457491290419e-23,t_Bmem-CD27
85,GLS,10.538547,1.9158536,6.218826757087566e-25,1.112016497458892e-22,t_Bmem-CD27
86,MCL1,10.44194,1.2624595,1.1565478134930729e-24,2.035248783220786e-22,t_Bmem-CD27
87,CD70,10.389224,1.9080288,2.7433712901905935e-24,4.7896670564878765e-22,t_Bmem-CD27
88,ARL6IP5,10.348383,1.4064053,3.0585298260521337e-24,5.298186080707341e-22,t_Bmem-CD27
89,HNRNPA2B1,10.332242,0.99781305,3.406751787328814e-24,5.855651734917969e-22,t_Bmem-CD27
90,ODC1,10.301718,1.3418393,4.764913110190546e-24,8.127109107096537e-22,t_Bmem-CD27
91,TNFAIP3,10.282856,2.2157485,9.117705354756983e-24,1.5315672790229287e-21,t_Bmem-CD27
92,POU2F2,10.179782,1.2330837,1.4787402056122637e-23,2.465271171356445e-21,t_Bmem-CD27
93,BCLAF1,10.017843,1.4355876,7.470403823089802e-23,1.2361288355923148e-20,t_Bmem-CD27
94,UBE2J1,9.987853,1.5491191,1.0538677350512651e-22,1.7309192066142002e-20,t_Bmem-CD27
95,PARP14,9.974005,1.5329541,1.1842592164502168e-22,1.930777912231666e-20,t_Bmem-CD27
96,SON,9.94217,1.1115094,1.40430814062498e-22,2.2728265986918016e-20,t_Bmem-CD27
